Brand, Product Name, Price, Shipping 
AMD,Refurbished: Amd Phenom II X4 965 Black Edition 3.4Ghz Quad-Core Processor 8Mb Cache 125W socket AM3 desktop CPU,64.99,Free Shipping
AMD,Refurbished: AMD A6-3650 2.6GHz APU with AMD Radeon 6530 HD Graphics Socket FM1 100W Quad-Core Processor desktop CPU,89.99,Free Shipping
AMD,Refurbished: AMD A4-6300 3.7GHz Dual Core Processor AD6300OKA23HL Socket FM2  desktop CPU,109.99,Free Shipping
AMD,Refurbished: AMD A10 7870K Black Edition A-Series APU with Radeon R7 Graphics AD787KXDJCSBX,199.99,Free Shipping
AMD,Refurbished: AMD Athlon X2 280 3.6 GHz 65W ADX280OCK23GM Dual-Core Processor Socket AM2+ AM3 938-pin desktop CPU,69.99,Free Shipping
AMD,Refurbished: AMD Phenom II X4 940 3 GHz Quad-Core Processor HDZ940XCJ4DGI Socket AM2+ 125W desktop CPU,129.99,Free Shipping
AMD,Refurbished: AMD Athlon 64 X2 5000+ 2.6G 512KB Dual-Core CPU Socket AM2 desktop Processor,59.99,Free Shipping
AMD,Refurbished: AMD Athlon II X4 840 Socket FM2+| Quad-Core 3.8 GHz| L2 Cache 4MB| 65W| BOX,99.99,Free Shipping
AMD,Refurbished: AMD FX-8370 with AMD Wraith Cooler Vishera 8-Core 4.0 GHz (4.3 GHz Turbo) Socket AM3+ 125W FD8370FRHKHBX Desktop Processor,319.99,Free Shipping
AMD,Refurbished: AMD FX-4300 Vishera Quad-Core 3.8GHz (4.0GHz) Socket AM3+ 95W FD4300WMHKBOX Desktop Processor Black Edition- Grade A like new,149.99,Free Shipping
AMD,Refurbished: AMD FX-6100 3.3Ghz FD6100WMW6KGU 8MB 95W  Socket AM3+ Desktop CPU,91.99,Free Shipping
AMD,Refurbished: AMD Athlon II X2 255 3.1G ADX255OCK23GM ADX255OCK23GQ Socket AM3 desktop CPU,42.99,Free Shipping
AMD,Refurbished: AMD A4-4000 Richland Dual-Core 3.2 GHz Socket FM2 65W AD4000OKHLBOX Desktop Processor,69.99,Free Shipping
AMD,Refurbished: AMD A6-9500 Bristol Ridge Dual-Core 3.5 GHz Socket AM4 65W AD9500AGABBOX Desktop Processor Radeon R5,129.99,Free Shipping
AMD,Refurbished: AMD Athlon II X2 240E 2.8GHz 2x1MB 45W Socket AM3 desktop CPU,38.99,Free Shipping
AMD,Refurbished: AMD Athlon X4 950 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD950XAGABBOX Desktop Processor,169.99,Free Shipping
AMD,Refurbished: AMD Sempron X145 2.8 GHz SDX145HBK13GM Socket AM3 938-Pin desktop CPU,27.99,Free Shipping
AMD,Refurbished: AMD FX-4170 Zambezi Quad-Core 4.2GHz (4.3GHz Turbo) Socket AM3+ 125W FD4170FRGUBOX Desktop Processor,129.99,Free Shipping
AMD,Refurbished: AMD Athlon X2 370K Richland Dual-Core 4.0 GHz Socket FM2 65W AD370KOKHLBOX Desktop Processor,79.99,Free Shipping
AMD,Refurbished: AMD Phenom II X4 840T 2.9 GHz HD840TWFK4DGR 95W Quad-Core Processor Socket AM3 Desktop CPU,59.99,Free Shipping
AMD,Refurbished: AMD Sempron X2 190 2.5 GHz SDX190HDK22GM 45W Socket AM3 desktop CPU,35.99,Free Shipping
AMD,Refurbished: AMD Phenom II X3 720 Triple-Core 2.8 GHz Socket AM3 95W HDZ720WFGIBOX Black Processor,89.99,Free Shipping
AMD,Refurbished: AMD A8-5500 Trinity Quad-Core 3.2GHz (3.7GHz Turbo) Socket FM2 65W AD5500OKHJBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 7560D,149.99,Free Shipping
AMD,Refurbished: AMD A10-7890K with AMD Wraith Cooler Quad-Core Socket FM2+ 95W AD789KXDJCHBX Desktop Processor AMD Radeon R7,279.99,Free Shipping
AMD,Refurbished: AMD A12-9800 Bristol Ridge Quad-Core 3.8 GHz Socket AM4 65W AD9800AUABBOX Desktop Processor Radeon R7,109.99,Free Shipping
AMD,Refurbished: AMD A10-9700E Bristol Ridge Quad-Core 3.0 GHz Socket AM4 35W AD9700AHABBOX Desktop Processor Radeon R7,159.99,Free Shipping
